date_time,open,high,low,close,volume
01-01-2023,9.98,10.08,9.69,9.99,465130.754
02-01-2023,9.99,12.03,9.81,11.29,1173259.843
03-01-2023,11.29,13.81,11.01,13.38,1522580.463
04-01-2023,13.38,14.19,12.83,13.44,1234482.125
05-01-2023,13.44,13.86,12.94,13.44,656899.525
06-01-2023,13.44,13.6,12.7,13.51,559016.792
07-01-2023,13.51,13.51,13.02,13.1,139118.529
08-01-2023,13.1,14.96,12.86,14.46,483204.639
09-01-2023,14.46,17.5,14.28,16.26,1691167.647
10-01-2023,16.26,16.72,15.56,16.19,671893.246
11-01-2023,16.19,16.61,15.28,16.37,473616.995
12-01-2023,16.37,17.01,15.51,16.6,899898.69
13-01-2023,16.6,18.61,16.31,18.29,837926.522
14-01-2023,18.29,24.77,18.2,24.24,3146742.657
15-01-2023,24.24,25.06,21.98,22.9,1222312.937
16-01-2023,22.9,25,22.27,23.6,1418035.781
17-01-2023,23.6,23.98,22.7,22.86,734066.509
18-01-2023,22.86,23.65,20.32,20.8,1255671.518
19-01-2023,20.8,21.87,20.42,21.43,601256.48
20-01-2023,21.43,25.82,20.94,25.51,935575.107
21-01-2023,25.51,26.55,24.18,24.55,1501231.809
22-01-2023,24.55,25.44,23.48,24.21,742809.255
23-01-2023,24.21,24.92,23.68,24.32,546165.512
24-01-2023,24.32,25.22,22.25,22.78,525545.462
25-01-2023,22.78,25.43,22.24,24.5,746182.158
26-01-2023,24.5,25.23,23.76,24.34,604658.804
27-01-2023,24.34,24.95,23.29,24.43,552041.035
28-01-2023,24.43,25.21,23.72,24.02,216194.853
29-01-2023,24.02,26.78,23.74,26.06,529079.525
30-01-2023,26.06,26.3,23.07,23.97,600055.877
31-01-2023,23.97,24.5,23.5,23.95,294225.448
01-02-2023,23.95,25.22,22.48,25,628309.274
02-02-2023,25,26.13,24.04,24.31,485814.27
03-02-2023,24.31,25.06,24.02,24.67,307134.075
04-02-2023,24.67,24.94,24.18,24.34,123421.615
05-02-2023,24.34,24.52,23.03,23.48,278478.14
06-02-2023,23.48,23.72,22.5,22.66,252713.428
07-02-2023,22.66,23.96,22.54,23.86,239744.802
08-02-2023,23.86,24.23,22.8,23.22,155012.546
09-02-2023,23.22,23.35,20,20.48,439323.75
10-02-2023,20.48,21.19,19.69,20.12,265866.787
11-02-2023,20.12,20.91,20.1,20.8,86368.962
12-02-2023,20.8,22.54,20.63,21.5,209236.635
13-02-2023,21.5,21.6,19.75,20.74,300820.78
14-02-2023,20.74,22.36,20.68,21.85,460244.859
15-02-2023,21.85,23.98,21.44,23.87,260501.421
16-02-2023,23.87,24.15,22.2,22.27,339974.638
17-02-2023,22.27,23.55,22.01,23.15,238340.11
18-02-2023,23.15,23.92,22.92,23.46,145962.753
19-02-2023,23.46,25.65,23.21,24.83,442395.837
20-02-2023,24.83,27.13,24.12,26.26,550355.182
21-02-2023,26.26,26.62,24.49,24.98,507370.013
22-02-2023,24.98,25.24,23.22,24.15,429899.96
23-02-2023,24.15,24.69,23.59,23.91,197216.476
24-02-2023,23.91,24.11,22.45,23.07,304352.048
25-02-2023,23.07,23.33,21.42,22.4,311380.034
26-02-2023,22.4,23.52,22.21,23.25,142719.368
27-02-2023,23.25,23.41,22.31,22.67,173242.564
28-02-2023,22.67,22.75,21.75,21.88,185869.475
01-03-2023,21.88,22.91,21.65,22.54,152102.249
02-03-2023,22.54,22.66,21.67,21.99,189076.448
03-03-2023,21.99,22.01,20.33,21.41,370732.736
04-03-2023,21.41,21.62,20.21,20.98,282874.948
05-03-2023,20.98,21.7,20.85,20.97,267068.002
06-03-2023,20.97,21.2,20.48,20.64,293012.847
07-03-2023,20.64,20.96,19.71,20.24,350631.643
08-03-2023,20.24,20.38,18.1,18.41,598611.27
09-03-2023,18.41,18.77,16.7,17.33,503793.381
10-03-2023,17.33,18.36,16.01,18.16,812586.301
11-03-2023,18.16,18.87,16.95,18.07,1127734.701
12-03-2023,18.07,20.52,17.7,20.18,767934.981
